,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,16699048.38,271131.2,708719.32,596124.89,196880.09,15990329.06,-324993.69,-6058595.94
2025-06-30,16531917.53,106115.89,778191.59,701769.61,64994.22,15753725.94,-595653.72,-6295199.06
2025-12-31,14599556.31,919131.58,943559.3,834435.73,807628.63,13655997.01,84695.85,-8392927.99
