,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,22442000000.0,5366000000.0,,,,,,,,,,
2025-03-31,20809000000.0,20809000000.0,2129000000.0,1374000000.0,1491000000.0,2711000000.0,786000000.0,786000000.0,0.68,0.67,71630000000.0,22724000000.0,47438000000.0,21319000000.0,,,6292000000.0,23751000000.0,1405000000.0,19955000000.0,2178000000.0,-606000000.0,1175000000.0,1529000000.0,-649000000.0,2227000000.0
2025-06-30,19826000000.0,19826000000.0,1990000000.0,1361000000.0,1546000000.0,2736000000.0,815000000.0,815000000.0,0.72,0.7,67378000000.0,19651000000.0,46299000000.0,20778000000.0,,,3150000000.0,20641000000.0,-1127000000.0,18139000000.0,1710000000.0,-702000000.0,-4015000000.0,1136000000.0,-574000000.0,
2025-12-31,22092000000.0,22092000000.0,7311000000.0,1101000000.0,1739000000.0,2986000000.0,1059000000.0,1059000000.0,,,71018000000.0,20946000000.0,48395000000.0,21410000000.0,25447000000.0,8776000000.0,1882000000.0,22227000000.0,-464000000.0,19773000000.0,2619000000.0,-2572000000.0,-226000000.0,1672000000.0,-947000000.0,
2026-03-31,20420000000.0,20420000000.0,2239000000.0,1476000000.0,1611000000.0,2840000000.0,812000000.0,812000000.0,0.73,0.72,74413000000.0,23755000000.0,50562000000.0,21688000000.0,,,5352000000.0,23400000000.0,2067000000.0,20571000000.0,2679000000.0,-873000000.0,140000000.0,2045000000.0,-634000000.0,1497000000.0
2026-06-30,22367000000.0,22367000000.0,2643000000.0,1863000000.0,1979000000.0,3239000000.0,1010000000.0,1010000000.0,0.91,0.9,73030000000.0,21866000000.0,50217000000.0,21239000000.0,,,3776000000.0,22285000000.0,627000000.0,19407000000.0,2018000000.0,967000000.0,-4584000000.0,1353000000.0,-665000000.0,
