,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,498585000.0,498585000.0,155441000.0,77874000.0,85422000.0,109609000.0,46096000.0,46096000.0,0.48,0.48,4067433000.0,2330644000.0,2812598000.0,2473942000.0,117107000.0,1363912000.0,1074337000.0,-143298000.0,968380000.0,-114187000.0,-55717000.0,19916000.0,-114187000.0
2025-06-30,795605000.0,795605000.0,166713000.0,75372000.0,85137000.0,110040000.0,43583000.0,43583000.0,0.45,0.45,3894254000.0,2113680000.0,2795597000.0,2460687000.0,116846000.0,1135773000.0,937129000.0,-347007000.0,848777000.0,-19559000.0,-15228000.0,-186595000.0,-19559000.0
2025-09-30,854155000.0,854155000.0,190014000.0,112041000.0,119791000.0,145005000.0,59809000.0,59809000.0,0.62,0.62,3737906000.0,1920196000.0,2606889000.0,2263105000.0,121184000.0,1019715000.0,977238000.0,-342909000.0,908761000.0,-11865000.0,-59926000.0,-41769000.0,-11865000.0
2025-12-31,930949000.0,930949000.0,317963000.0,205057000.0,180596000.0,207893000.0,127776000.0,127776000.0,,,4248078000.0,2352436000.0,3007100000.0,2661062000.0,123522000.0,1355713000.0,1081352000.0,-308626000.0,1014512000.0,510358000.0,-160475000.0,-17725000.0,231453000.0
2026-03-31,613489000.0,613489000.0,173468000.0,94121000.0,106773000.0,131543000.0,63695000.0,63695000.0,0.66,0.66,4163159000.0,2208856000.0,2849970000.0,2523321000.0,125602000.0,1089729000.0,1148621000.0,-314465000.0,1077268000.0,-146345000.0,-114288000.0,-10913000.0,-146345000.0
