,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,145000.0,140000.0,11335000.0,179000.0,11160000.0,11071000.0,83000.0,-11190000.0,-39000.0,-28889000.0
2025-12-31,151000.0,139000.0,11774000.0,169000.0,11609000.0,11507000.0,89000.0,-11623000.0,-30000.0,-29322000.0
