,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,-0.39,-0.39,,,,,,,,,,,,,,,,,
2025-06-30,77898000.0,77898000.0,53105000.0,-564000.0,-511000.0,4103000.0,-2492000.0,-2492000.0,-0.38,-0.38,269716000.0,131694000.0,202222000.0,110332000.0,71921000.0,44579000.0,12404000.0,67299000.0,21362000.0,58109000.0,-5473000.0,-3616000.0,10771000.0,-9037000.0,-3564000.0,-71000.0,12009000.0
2025-09-30,78595000.0,78595000.0,56519000.0,3960000.0,3996000.0,8890000.0,2561000.0,2561000.0,0.39,0.39,275836000.0,139141000.0,206673000.0,116002000.0,72043000.0,45488000.0,12349000.0,68934000.0,23139000.0,60670000.0,3811000.0,-3325000.0,-527000.0,489000.0,-3322000.0,-53000.0,679000.0
2025-12-31,82865000.0,82865000.0,54463000.0,3458000.0,4518000.0,9222000.0,5385000.0,5385000.0,,,258880000.0,119804000.0,183209000.0,49115000.0,61176000.0,34861000.0,12885000.0,75474000.0,70689000.0,66055000.0,15447000.0,-3141000.0,-11730000.0,12335000.0,-3112000.0,-7624000.0,-2983000.0
2026-03-31,73121000.0,73121000.0,51765000.0,1579000.0,1856000.0,6450000.0,-257000.0,-257000.0,-0.04,-0.04,269113000.0,127206000.0,192602000.0,50460000.0,70495000.0,39809000.0,13002000.0,76327000.0,76746000.0,65798000.0,-2157000.0,-1760000.0,3896000.0,-3915000.0,-1758000.0,-2298000.0,7327000.0
2026-06-30,72245000.0,72245000.0,48518000.0,276000.0,319000.0,4810000.0,-2477000.0,-2477000.0,-0.38,-0.38,264189000.0,124865000.0,190925000.0,43720000.0,75191000.0,43743000.0,14244000.0,73058000.0,81145000.0,63321000.0,-1107000.0,-1918000.0,4204000.0,-2958000.0,-1851000.0,-652000.0,5938000.0
