,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,214402000.0,196359000.0,168388000.0,132383000.0,27266000.0,,39666000.0,43471000.0,63976000.0,21449000.0
2025-06-30,229623711.32,206221495.95,175912471.89,77108484.05,80483302.0,17589146.22,62894155.78,51195017.35,129113011.9,38956662.25
2025-12-31,357784000.0,215955000.0,225144000.0,111757000.0,92723000.0,54301000.0,37098000.0,85043000.0,104198000.0,72305000.0
