,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,54363000.0,54363000.0,8001000.0,-1947000.0,-1891000.0,1225000.0,-2437000.0,-2437000.0,-0.69,-0.69,210459000.0,162049000.0,62090000.0,40137000.0,16511000.0,18653000.0,148369000.0,121912000.0,112673000.0,-446000.0,-503000.0,-796000.0,-949000.0,-503000.0
2025-06-30,53752000.0,53752000.0,8336000.0,-378000.0,83000.0,2687000.0,-410000.0,-410000.0,-0.12,-0.12,202880000.0,155464000.0,56192000.0,34964000.0,16231000.0,15840000.0,146688000.0,120500000.0,111841000.0,-1191000.0,-758000.0,-835000.0,-1949000.0,-758000.0
2025-09-30,52099000.0,52099000.0,6562000.0,-2120000.0,-2120000.0,824000.0,-3552000.0,-3552000.0,-1.01,-1.01,197197000.0,149917000.0,54106000.0,33572000.0,15841000.0,9984000.0,143091000.0,116345000.0,108289000.0,-2995000.0,-1722000.0,-1218000.0,-4717000.0,-1722000.0
2025-12-31,52664000.0,52664000.0,7722000.0,-456000.0,-586000.0,1528000.0,1822000.0,1822000.0,,,192652000.0,142888000.0,47511000.0,26737000.0,15501000.0,12996000.0,145141000.0,116151000.0,110080000.0,4812000.0,-923000.0,-866000.0,3889000.0,-923000.0
2026-03-31,52262000.0,52262000.0,8953000.0,343000.0,358000.0,2974000.0,-323000.0,-323000.0,-0.09,-0.09,189182000.0,140979000.0,44321000.0,24867000.0,14892000.0,13119000.0,144861000.0,116112000.0,109756000.0,2009000.0,-1007000.0,-884000.0,1002000.0,-1007000.0
