,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,412959000.0,,,,,,,,,,
2025-03-31,,,,,,,,,0.27,0.27,,,,,,,,,,,,,,,
2025-06-30,987923000.0,987923000.0,229207000.0,73884000.0,48718000.0,190826000.0,27468000.0,27468000.0,,,8491110000.0,2183512000.0,2329181000.0,751987000.0,442500000.0,4972000.0,6161929000.0,1431525000.0,3524444000.0,185730000.0,-159322000.0,-24580000.0,95687000.0,-90043000.0,0.0
2025-09-30,1009829000.0,1009829000.0,224729000.0,87518000.0,61809000.0,130412000.0,36090000.0,36090000.0,,,8545936000.0,2169455000.0,2347038000.0,739791000.0,,3288000.0,6198898000.0,1429664000.0,3560534000.0,203228000.0,-194867000.0,-10045000.0,92415000.0,-110813000.0,0.0
2025-12-31,1119539000.0,1119539000.0,219365000.0,144812000.0,37012000.0,131968000.0,54996000.0,54996000.0,,,11007409000.0,1899569000.0,5011921000.0,1206811000.0,1109391000.0,7698000.0,5995488000.0,692758000.0,3615530000.0,171520000.0,-125055000.0,-42055000.0,-10412000.0,-181932000.0,50000000.0
2026-03-31,1146026000.0,1146026000.0,250073000.0,86320000.0,60001000.0,60408000.0,17789000.0,17789000.0,0.1,0.1,10872788000.0,1733038000.0,4858240000.0,874042000.0,,4722000.0,6014548000.0,858996000.0,3633319000.0,151352000.0,-249996000.0,95668000.0,55765000.0,-95587000.0,225000000.0
2026-06-30,1123710000.0,1123710000.0,243234000.0,88251000.0,55334000.0,326383000.0,12665000.0,12665000.0,,,10923117000.0,1723657000.0,4904716000.0,886975000.0,,6826000.0,6018401000.0,836682000.0,3637159000.0,235841000.0,-162368000.0,-71369000.0,111037000.0,-124804000.0,0.0
