,Total Revenue,Operating Revenue,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2025-02-28,27761000.0,27761000.0,-416000.0,-416000.0,-0.039619,-0.039619,,,125869000.0,,,31605000.0,45913864.0,,
2025-05-31,27744664.0,27744664.0,187673.0,187673.0,,,168377457.0,99125929.0,122099377.0,78296278.0,,25679177.0,46217801.0,20829651.0,-13628085.0
2025-11-30,29581847.0,29581847.0,1315543.0,1315543.0,,,171404358.0,101841585.0,123538005.0,81396777.0,6034082.0,26407000.0,47801843.0,20444808.0,-11581216.0
2026-02-28,29327000.0,29327000.0,-294000.0,-294000.0,-0.028,-0.028,,,,,,36704000.0,46469490.0,,
2026-05-31,33401316.0,33401316.0,357301.0,357301.0,,,191405127.0,111335942.0,143622547.0,86136427.0,,24342111.0,47721311.0,25199515.0,-11517914.0
