,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,359649433.09,207750967.31,208816170.17,115844229.0,24165385.44,57682113.94,150749490.85,91906738.31,
2025-06-30,342451740.32,199317981.69,204489305.72,115456952.48,21838913.19,,137879134.41,83861029.21,110057008.72
2025-12-31,410720228.64,267240610.95,243687401.69,140550430.7,20189106.94,87407578.85,167032826.95,126690180.25,
