,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,880000000.0
2025-03-31,,,,,,,,,-0.6,-0.6,,,,,,,,,,,,,,,
2025-06-30,6199500000.0,6199500000.0,467200000.0,194100000.0,364600000.0,584100000.0,183100000.0,183100000.0,0.36,0.36,,6253900000.0,17368400000.0,12062600000.0,2549500000.0,2640700000.0,711700000.0,-5808700000.0,1351200000.0,-167100000.0,-249500000.0,1168100000.0,-183100000.0,-24700000.0,
2025-09-30,9402600000.0,9402600000.0,1329700000.0,1012200000.0,1224500000.0,1429200000.0,844300000.0,844300000.0,,,,5681100000.0,15462200000.0,10275400000.0,4437300000.0,2397800000.0,1762500000.0,-4594300000.0,1022900000.0,-143700000.0,-388500000.0,888200000.0,-134700000.0,-375400000.0,
2025-12-31,4861200000.0,4861200000.0,255500000.0,-8800000.0,97000000.0,323700000.0,-43600000.0,-43600000.0,-0.09,-0.09,,3846900000.0,14078000000.0,8220900000.0,2327600000.0,1547500000.0,1703900000.0,-4374000000.0,-1598700000.0,-295600000.0,333600000.0,-1939900000.0,-341200000.0,-265800000.0,928900000.0
2026-03-31,3701000000.0,3701000000.0,-33200000.0,-299700000.0,-194600000.0,44000000.0,-281800000.0,-281800000.0,-0.56,-0.56,,4982200000.0,15088000000.0,9700400000.0,2322700000.0,1448600000.0,2021100000.0,-4718200000.0,1043700000.0,-154500000.0,-988800000.0,839900000.0,-203800000.0,-67700000.0,
2026-06-30,5821700000.0,5821700000.0,396100000.0,128400000.0,232000000.0,469100000.0,82500000.0,82500000.0,0.16,0.16,19517500000.0,6038600000.0,16666000000.0,11069700000.0,2275100000.0,2220500000.0,1826700000.0,-5031100000.0,1071700000.0,-142000000.0,-197700000.0,910700000.0,-161000000.0,-42200000.0,
