,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,107018000.0,44603000.0,54142000.0,37368000.0,26322000.0,1349000.0,17127000.0,52876000.0,7235000.0,-29527000.0
2025-03-31,,,,,,,,,,
2025-06-30,95324000.0,36580000.0,49781000.0,34562000.0,23978000.0,6656000.0,9376000.0,45543000.0,2018000.0,-36004000.0
2025-12-31,76271000.0,33578000.0,51912000.0,34515000.0,27174000.0,9980000.0,8676000.0,24359000.0,-937000.0,-57371000.0
