,Total Revenue,Operating Revenue,EBIT,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Total Liabilities Net Minority Interest,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow
2024-12-31,,,,,,,,,,4668900000.0,3309200000.0,,,,,,,
2025-03-31,6218500000.0,6218500000.0,696500000.0,480500000.0,480500000.0,3.98,3.98,72573200000.0,59622300000.0,,,1130400000.0,12082100000.0,11089200000.0,1067200000.0,-1102000000.0,-60700000.0,1067200000.0
2025-06-30,4879300000.0,4879300000.0,1065300000.0,833500000.0,833500000.0,6.91,6.91,69357600000.0,57403800000.0,,,1118900000.0,11095200000.0,10837000000.0,1156000000.0,547200000.0,-1639600000.0,1156000000.0
2025-09-30,5797600000.0,5797600000.0,738300000.0,650800000.0,650800000.0,5.4,5.4,70345900000.0,57447800000.0,,,1258600000.0,12000200000.0,12026400000.0,1686600000.0,-1594300000.0,34300000.0,1686600000.0
2025-12-31,7122600000.0,7122600000.0,1046200000.0,676700000.0,676700000.0,,,71327100000.0,57396700000.0,4142300000.0,2998700000.0,1051500000.0,12928700000.0,12700400000.0,1777100000.0,-1881100000.0,-80300000.0,1777100000.0
2026-03-31,6721600000.0,6721600000.0,971100000.0,710600000.0,710600000.0,5.89,5.89,73436200000.0,58562800000.0,,,1140400000.0,13866800000.0,13418700000.0,1258800000.0,-1134300000.0,-56000000.0,1258800000.0
