,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,106159000.0,106159000.0,22934000.0,2719000.0,3019000.0,5776000.0,1373000.0,1373000.0,0.1,0.1,306920000.0,264553000.0,203637000.0,192253000.0,10656000.0,61955000.0,102679000.0,72300000.0,35244000.0,6524000.0,-17232000.0,-787000.0,4450000.0,-2074000.0
2025-06-30,111314000.0,111314000.0,19743000.0,796000.0,2624000.0,5502000.0,1574000.0,1574000.0,0.11,0.11,291543000.0,249833000.0,200868000.0,189994000.0,10033000.0,62383000.0,90029000.0,59839000.0,22567000.0,2971000.0,12652000.0,-15025000.0,941000.0,-2030000.0
2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,108485000.0,108485000.0,25770000.0,4524000.0,5917000.0,9118000.0,3014000.0,3014000.0,,,372763000.0,329417000.0,276108000.0,265782000.0,2584000.0,74105000.0,96181000.0,63635000.0,28191000.0,8027000.0,631000.0,-803000.0,4904000.0,-3123000.0
2026-03-31,114522000.0,114522000.0,23647000.0,-2829000.0,2030000.0,4396000.0,428000.0,428000.0,0.03,0.03,378726000.0,334324000.0,281788000.0,271766000.0,9161000.0,64954000.0,96413000.0,62558000.0,28619000.0,7342000.0,-15384000.0,-778000.0,4910000.0,-2432000.0
2026-06-30,123249000.0,123249000.0,22073000.0,3057000.0,6789000.0,9175000.0,5353000.0,5353000.0,0.38,0.38,376579000.0,330792000.0,284769000.0,275014000.0,8745000.0,69735000.0,91312000.0,55778000.0,23284000.0,10492000.0,5212000.0,-11581000.0,7873000.0,-2619000.0
