,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,,,,,,,,,,,40587727.19,17344098.0,50976691.89,36680044.97,22738456.73,15463010.6,5329000.0,-5279595.69,-19335946.97,-27792235.44
2025-03-31,1751262097.0,1751262097.0,401338974.0,111460681.0,111460681.0,111460681.0,-10740716.0,-10740716.0,-1.835008,-1.835008,,,,,,,,,,
2025-06-30,-1723303409.15,-1723303409.15,-373380286.15,-113292468.74,-113035403.16,-113035403.16,9309799.1,9309799.1,,,50787215.25,,47302066.77,24725056.32,14315343.4,7489966.06,5201405.59,10667246.36,-4864335.72,-14390010.59
2025-09-30,11830312.15,11830312.15,-19195687.85,-932212.26,-801277.84,229731.31,-2344083.1,-2344083.1,,,,,,,,,,,,
2026-03-31,1413498956.0,1413498956.0,111360613.0,-160855238.0,-160855238.0,-160855238.0,-280916593.0,-280916593.0,-30.278098,-30.278098,,,,,,,,,,
2026-06-30,-1376961956.0,-1376961956.0,-101927613.0,166330238.0,166330238.0,166330238.0,281644593.0,281644593.0,,,33186000.0,19512000.0,45141000.0,34951000.0,21789000.0,16236000.0,4451000.0,-3023000.0,-15439000.0,-35664000.0
