,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,0.2,0.2,,,,,,,,,,,,,
2025-06-30,16338000000.0,16338000000.0,5296000000.0,1062000000.0,1257000000.0,2221000000.0,440000000.0,440000000.0,0.17,0.17,109439000000.0,23559000000.0,85616000000.0,28093000000.0,2328000000.0,17433000000.0,-4534000000.0,4338000000.0,2319000000.0,-1228000000.0,-2134000000.0,757000000.0,-1562000000.0
2025-09-30,15960000000.0,15960000000.0,4633000000.0,242000000.0,709000000.0,1783000000.0,-51000000.0,-51000000.0,-0.02,-0.02,107035000000.0,21797000000.0,82732000000.0,25631000000.0,3096000000.0,17895000000.0,-3834000000.0,4672000000.0,2504000000.0,-2087000000.0,466000000.0,708000000.0,-1796000000.0
2025-12-31,21190000000.0,21190000000.0,6084000000.0,3645000000.0,1734000000.0,2832000000.0,816000000.0,816000000.0,,,110685000000.0,22278000000.0,84852000000.0,28084000000.0,3042000000.0,19260000000.0,-5806000000.0,5828000000.0,3639000000.0,-2660000000.0,-1039000000.0,406000000.0,-3233000000.0
2026-03-31,21823000000.0,21823000000.0,5412000000.0,4112000000.0,4250000000.0,5116000000.0,2230000000.0,2230000000.0,0.85,0.85,117219000000.0,28028000000.0,88391000000.0,29489000000.0,4867000000.0,21862000000.0,-1461000000.0,8312000000.0,-1028000000.0,-901000000.0,4001000000.0,-2263000000.0,-1235000000.0
2026-06-30,16253000000.0,16253000000.0,4324000000.0,818000000.0,1061000000.0,1960000000.0,382000000.0,382000000.0,0.14,0.14,115444000000.0,26749000000.0,87471000000.0,27966000000.0,3692000000.0,21223000000.0,-1217000000.0,7615000000.0,2522000000.0,-1211000000.0,-2479000000.0,989000000.0,-1533000000.0
