,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
2025-03-31,,,,,,,,,0.87,0.87,,,,,,,,,,,,,,,7000.0
2025-06-30,141720000.0,141720000.0,52316000.0,21630000.0,22072000.0,24182000.0,12553000.0,12553000.0,0.66,0.66,532875000.0,422507000.0,235369000.0,152087000.0,55823000.0,99150000.0,297506000.0,270420000.0,-26943000.0,-9513000.0,-7720000.0,-36444000.0,-9501000.0,-317000.0,
2025-09-30,117962000.0,117962000.0,38959000.0,12408000.0,12723000.0,15887000.0,9183000.0,9183000.0,0.48,0.48,522942000.0,413345000.0,218693000.0,141448000.0,50527000.0,94439000.0,304249000.0,271897000.0,5923000.0,-9911000.0,-475000.0,-621000.0,-6544000.0,-315000.0,
2025-12-31,118784000.0,118784000.0,41428000.0,6113000.0,11814000.0,16440000.0,9689000.0,9689000.0,,,507448000.0,386688000.0,191966000.0,117808000.0,49627000.0,98697000.0,315482000.0,268880000.0,9389000.0,-3858000.0,-1016000.0,5593000.0,-3796000.0,-312000.0,
2026-03-31,86537000.0,86537000.0,31230000.0,3727000.0,3997000.0,7951000.0,2462000.0,2462000.0,0.13,0.13,524731000.0,405926000.0,206024000.0,133664000.0,48879000.0,120859000.0,318707000.0,272262000.0,25691000.0,-2480000.0,-1199000.0,23211000.0,-2480000.0,-313000.0,8000.0
2026-06-30,116232000.0,116232000.0,44122000.0,10442000.0,10725000.0,14126000.0,6280000.0,6280000.0,0.33,0.33,552495000.0,432335000.0,226409000.0,150880000.0,48723000.0,112287000.0,326086000.0,281455000.0,-4774000.0,-2076000.0,-1846000.0,-6850000.0,-2076000.0,-312000.0,-6000.0
