,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,774104000.0,419017000.0,587177000.0,185140000.0,467707000.0,271935000.0,92137000.0,186927000.0,233877000.0,125792000.0
2025-06-30,896412000.0,504668000.0,683297000.0,253587000.0,547011000.0,418584000.0,128427000.0,213115000.0,251081000.0,149225000.0
2025-12-31,1077941000.0,663971000.0,853205000.0,419026000.0,736189000.0,393218000.0,126110000.0,224736000.0,244945000.0,157957000.0
2026-06-30,1127520000.0,690229000.0,926218000.0,460482000.0,409148000.0,316943000.0,92205000.0,201302000.0,229747000.0,138062000.0
