,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2025-06-30,39068000.0,39068000.0,15768000.0,29000.0,954000.0,2802000.0,-112000.0,-112000.0,-0.003768,-0.003768,136128000.0,34813000.0,76852000.0,36612000.0,18190000.0,17624000.0,566000.0,59276000.0,-1799000.0,21090000.0
2026-06-30,37351000.0,37351000.0,15149000.0,946000.0,1741000.0,3420000.0,475000.0,475000.0,0.015978,0.015978,146781000.0,33640000.0,91764000.0,40967000.0,35568000.0,34985000.0,583000.0,55017000.0,-7327000.0,17415000.0
