,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,,41036000.0,,,,,,,,,,
2025-03-31,229270000.0,229270000.0,34564000.0,7874000.0,8055000.0,17730000.0,3739000.0,3739000.0,0.196752,0.196752,1410571000.0,906265000.0,977912000.0,743025000.0,34042000.0,,45883000.0,402212000.0,163240000.0,305657000.0,-100575000.0,-5944000.0,34677000.0,-107137000.0,-6562000.0,39472000.0
2025-06-30,308242000.0,308242000.0,38006000.0,13129000.0,14131000.0,23873000.0,6364000.0,6364000.0,0.324641,0.324641,1569385000.0,1054967000.0,1141676000.0,890857000.0,41967000.0,,52799000.0,396887000.0,164110000.0,300529000.0,-6960000.0,-4234000.0,17646000.0,-11878000.0,-4918000.0,35340000.0
2025-09-30,283892000.0,283892000.0,50359000.0,23357000.0,24075000.0,34198000.0,12377000.0,12377000.0,0.639444,0.639444,1565351000.0,1052839000.0,1124560000.0,875036000.0,303383000.0,210353000.0,53437000.0,409303000.0,177803000.0,312906000.0,-20151000.0,-3011000.0,24020000.0,-23962000.0,-3811000.0,30409000.0
2025-12-31,394656000.0,394656000.0,116958000.0,27798000.0,36870000.0,48850000.0,26243000.0,26243000.0,,,1566378000.0,1047309000.0,1135020000.0,803514000.0,319851000.0,59592000.0,220609000.0,430706000.0,243795000.0,330659000.0,166191000.0,-6604000.0,7119000.0,157548000.0,-8643000.0,118064000.0
2026-03-31,270945000.0,270945000.0,43860000.0,15393000.0,15702000.0,26239000.0,9894000.0,9894000.0,0.511556,0.511556,1486196000.0,964521000.0,1045014000.0,725808000.0,37630000.0,,54254000.0,440484000.0,238713000.0,340553000.0,-112502000.0,-6775000.0,-47280000.0,-119968000.0,-7466000.0,178754000.0
