,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,21429859.32,18681164.79,14252102.87,5682697.8,14.88,4632321.52,7177756.45,12998466.99,1594563.14
2025-06-30,20679486.11,18116866.45,12808051.77,5176017.06,0.0,3106142.58,7871434.34,12940849.39,2288241.03
2025-12-31,21482003.46,19060531.64,13048581.03,4921582.79,0.0,3639740.03,8433422.43,14138948.85,2850229.12
