,Total Assets,Total Liabilities Net Minority Interest,Cash And Cash Equivalents,Stockholders Equity,Retained Earnings
2024-12-31,63438402.39,108215.59,6905633.61,63330186.8,49747996.8
2025-06-30,68822830.54,142478.0,4384421.06,68680352.54,55098162.54
2025-12-31,68736856.64,240307.08,3471345.71,68496549.56,55093509.56
