,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,-0.18,-0.18,,,,,,,,,,,,,,,,
2025-06-30,1008100000.0,1008100000.0,457100000.0,55400000.0,66400000.0,165500000.0,17300000.0,17300000.0,0.16,0.16,4573100000.0,1247300000.0,3648500000.0,1460300000.0,,,92900000.0,924600000.0,-213000000.0,,148200000.0,-43300000.0,-100900000.0,148200000.0,-85000000.0,100000.0
2025-09-30,981800000.0,981800000.0,437400000.0,4800000.0,7200000.0,109800000.0,14100000.0,14100000.0,,,4695900000.0,1235800000.0,3754700000.0,1531700000.0,2333200000.0,959600000.0,48000000.0,941200000.0,-295900000.0,-1237700000.0,103400000.0,-55200000.0,-91800000.0,103400000.0,85100000.0,-93900000.0
2025-12-31,1673800000.0,1673800000.0,710000000.0,234500000.0,239100000.0,336600000.0,144800000.0,144800000.0,1.34,1.34,5221300000.0,1787300000.0,4129500000.0,1881300000.0,,,396600000.0,1091800000.0,-94000000.0,,504900000.0,-40500000.0,-117500000.0,504900000.0,-4400000.0,0.0
2026-03-31,949700000.0,949700000.0,422800000.0,-100800000.0,-98400000.0,111700000.0,-124600000.0,-124600000.0,-1.16,-1.16,4722900000.0,1386500000.0,3751600000.0,1513100000.0,2305800000.0,852200000.0,150800000.0,971300000.0,-126600000.0,,-141500000.0,-28600000.0,-75200000.0,-141500000.0,0.0,4800000.0
2026-06-30,987800000.0,987800000.0,436100000.0,30300000.0,35400000.0,134700000.0,-2600000.0,-2600000.0,-0.02,-0.02,4662500000.0,1325200000.0,3695600000.0,1466800000.0,2314000000.0,862900000.0,142400000.0,966900000.0,-141600000.0,,127800000.0,-23000000.0,-113000000.0,127800000.0,-4900000.0,0.0
