,Total Revenue,Operating Revenue,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Total Liabilities Net Minority Interest,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,,,,,,0.0
2025-03-31,,,,,0.51,0.49,,,,,,,,,,,,,,0.0
2025-06-30,17559000.0,17559000.0,-1052000.0,-1052000.0,-0.06,-0.06,,238504000.0,168549000.0,142320000.0,14327000.0,626853000.0,315395000.0,-8897000.0,-11415000.0,7960000.0,-9175000.0,-278000.0,-391000.0,35000000.0
2025-09-30,14940000.0,14940000.0,162000.0,162000.0,0.01,0.01,,266076000.0,193212000.0,165845000.0,15330000.0,626087000.0,315162000.0,2363000.0,-21913000.0,20554000.0,2232000.0,-131000.0,-3215000.0,25000000.0
2025-12-31,53370000.0,53370000.0,16341000.0,16341000.0,,,,283307000.0,230092000.0,155022000.0,63173000.0,639667000.0,330347000.0,32351000.0,-15109000.0,30600000.0,32203000.0,-148000.0,-416000.0,35000000.0
2026-03-31,-5594000.0,-5594000.0,-20463000.0,-20463000.0,-1.17,-1.7,,207123000.0,167793000.0,117873000.0,38448000.0,613278000.0,308243000.0,-12424000.0,56084000.0,-68385000.0,-12518000.0,-94000.0,-63170000.0,
2026-06-30,1984000.0,1984000.0,-13578000.0,-13578000.0,-0.79,-0.79,823180000.0,242962000.0,219643000.0,185936000.0,22666000.0,580218000.0,276339000.0,-11866000.0,-32566000.0,28650000.0,-11883000.0,-17000.0,-423000.0,
