,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,51508000.0,51508000.0,1961000.0,-5383000.0,-5410000.0,-2414000.0,-4707000.0,-4707000.0,-0.563,-0.563,165098000.0,84508000.0,122706000.0,66535000.0,50893000.0,13770000.0,27029000.0,35849000.0,17973000.0,11139000.0,11660000.0,-297000.0,-1203000.0,11363000.0,-297000.0
2025-06-30,52197000.0,52197000.0,7670000.0,1883000.0,1779000.0,3669000.0,145000.0,145000.0,0.017,0.017,155226000.0,79468000.0,115447000.0,65148000.0,47015000.0,16624000.0,20593000.0,35999000.0,14320000.0,11283000.0,-1670000.0,-286000.0,-4407000.0,-1995000.0,-325000.0
2025-09-30,50496000.0,50496000.0,8595000.0,2393000.0,2470000.0,4743000.0,927000.0,927000.0,0.111,0.111,147821000.0,74324000.0,107247000.0,58525000.0,45807000.0,16810000.0,20420000.0,37075000.0,15799000.0,12211000.0,2599000.0,-667000.0,-2031000.0,1927000.0,-672000.0
2025-12-31,55309000.0,55309000.0,27906000.0,2413000.0,-589000.0,4227000.0,2425000.0,2425000.0,,,142229000.0,71645000.0,99537000.0,55957000.0,41575000.0,17147000.0,16223000.0,39587000.0,15688000.0,14635000.0,1538000.0,-330000.0,-4862000.0,1194000.0,-344000.0
2026-03-31,52472000.0,52472000.0,8706000.0,3049000.0,3218000.0,5282000.0,2513000.0,2513000.0,0.328,0.328,157934000.0,88153000.0,112457000.0,68931000.0,41869000.0,4770000.0,28640000.0,42129000.0,19222000.0,17149000.0,13757000.0,-205000.0,-1145000.0,13548000.0,-209000.0
