,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow
2024-12-31,,,,,,,,,,,,,,,,,,,,4170968.0,-1302048.0,-2327177.0,-2746840.0
2025-03-31,28575121.0,28575121.0,8790490.0,410628.0,461678.0,1605196.0,257482.0,257482.0,0.07,0.07,50391373.0,15322284.0,25922682.0,18756712.0,8634125.0,2647288.0,353832.0,24468691.0,-3434428.0,,,,
2025-06-30,28450598.0,28450598.0,8966755.0,495005.0,694908.0,1840721.0,432571.0,432571.0,0.12,0.11,51267232.0,16094034.0,26344813.0,19483046.0,8474632.0,2144754.0,856756.0,24922419.0,-3389012.0,,,,
2025-09-30,32940916.0,32940916.0,9086159.0,861262.0,884385.0,1949661.0,539225.0,539225.0,0.15,0.14,53494697.0,18869186.0,29054114.0,22356046.0,7538094.0,1272017.0,990151.0,24440583.0,-3486860.0,2496000.0,-293000.0,-2115000.0,4706000.0
2025-12-31,34239951.0,34239951.0,9335436.0,-2432568.0,-1725890.0,-625195.0,-1228725.0,-1228725.0,,,55155030.0,19916668.0,31791502.0,25388634.0,5101023.0,,1129178.0,23363528.0,-5471966.0,2621440.0,374919.0,-2811364.0,-1810094.0
2026-03-31,32678295.0,32678295.0,9434886.0,603738.0,606981.0,1707061.0,355465.0,355465.0,0.1,0.09,53589442.0,18827588.0,29870449.0,23458462.0,4952528.0,,1560922.0,23718993.0,-4630874.0,,,,
