,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure
2025-03-31,5007000.0,5007000.0,2594000.0,1374000.0,1374000.0,1374000.0,901000.0,901000.0,0.159469,0.159469,,,,,,,,,,,,,
2026-03-31,6408000.0,6408000.0,1314000.0,-739000.0,-739000.0,-675000.0,-729000.0,-729000.0,-0.129027,-0.129027,18394000.0,17338000.0,10706000.0,4287000.0,3615000.0,7688000.0,13051000.0,1867000.0,-3091000.0,-228000.0,-1500000.0,-3334000.0,-243000.0
