,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Free Cash Flow,Capital Expenditure
2024-12-31,,,,,,,,,,,,,,,,109900000.0,,,,,,,
2025-03-31,251100000.0,251100000.0,63700000.0,6400000.0,10800000.0,10800000.0,6200000.0,4700000.0,0.24,0.24,1507200000.0,685400000.0,755700000.0,520600000.0,28200000.0,,76300000.0,725900000.0,164800000.0,277300000.0,-22200000.0,-37400000.0,-15200000.0
2025-06-30,331500000.0,331500000.0,94700000.0,32600000.0,43100000.0,43100000.0,25700000.0,24200000.0,1.25,1.25,1520700000.0,708200000.0,760200000.0,472400000.0,27900000.0,,88500000.0,718300000.0,235800000.0,280200000.0,3500000.0,-8800000.0,-12300000.0
2025-12-31,434700000.0,434700000.0,112700000.0,29500000.0,37500000.0,37500000.0,23200000.0,21700000.0,,,2126800000.0,750100000.0,1311100000.0,684700000.0,723800000.0,513900000.0,148900000.0,759500000.0,65400000.0,314100000.0,124400000.0,96000000.0,-28400000.0
2026-03-31,314600000.0,314600000.0,75600000.0,400000.0,1900000.0,1900000.0,-7600000.0,-10900000.0,-0.57,-0.57,2294600000.0,908500000.0,1383600000.0,619700000.0,33800000.0,,246500000.0,852500000.0,288800000.0,303900000.0,-41900000.0,-63100000.0,-21200000.0
2026-06-30,395600000.0,395600000.0,110200000.0,25800000.0,34800000.0,34800000.0,17300000.0,13900000.0,0.72,0.72,2257100000.0,854500000.0,1350900000.0,581100000.0,32900000.0,,163500000.0,848200000.0,273400000.0,295600000.0,10200000.0,-5700000.0,-15900000.0
