,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt
2024-12-31,145728000.0,145728000.0,54117000.0,29597000.0,63340000.0,72175000.0,54295000.0,54295000.0,,,799830000.0,435982000.0,236645000.0,117688000.0,111304000.0,21691000.0,80813000.0,562718000.0,318294000.0,524987000.0,-39758000.0,48146000.0,9006000.0,-49056000.0,-9298000.0,0.0
2025-03-31,126880000.0,126880000.0,55061000.0,27604000.0,25882000.0,34941000.0,18546000.0,18546000.0,1.08,1.08,784531000.0,414941000.0,202513000.0,85833000.0,,,97718000.0,581537000.0,329108000.0,543525000.0,39548000.0,-11160000.0,-11238000.0,21516000.0,-18032000.0,-10428000.0
2025-06-30,145715000.0,145715000.0,59981000.0,34794000.0,30568000.0,39743000.0,27599000.0,27599000.0,1.61,1.61,796690000.0,424536000.0,204274000.0,93168000.0,,,83703000.0,591850000.0,331368000.0,553957000.0,10218000.0,-6101000.0,-17660000.0,472000.0,-9746000.0,
2025-12-31,169285000.0,169285000.0,70038000.0,39703000.0,40220000.0,50827000.0,31369000.0,31369000.0,,,829189000.0,451429000.0,187703000.0,80179000.0,98427000.0,,110850000.0,641486000.0,371250000.0,603037000.0,25720000.0,-22362000.0,-7457000.0,11823000.0,-13897000.0,
2026-03-31,152488000.0,152488000.0,70705000.0,35542000.0,36755000.0,47444000.0,26182000.0,26182000.0,1.52,1.52,872710000.0,496523000.0,214610000.0,104895000.0,,,140744000.0,658100000.0,391628000.0,629219000.0,48156000.0,-7483000.0,-11086000.0,40614000.0,-7542000.0,-513000.0
