,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,369000000.0
2025-03-31,345800000.0,345800000.0,54900000.0,14900000.0,18800000.0,82200000.0,2400000.0,2400000.0,0.08,0.08,4971300000.0,1122400000.0,2792100000.0,533400000.0,1522300000.0,1097000000.0,284300000.0,1976800000.0,589000000.0,797500000.0,58000000.0,-66900000.0,-2300000.0,-81100000.0,-139100000.0,,0.0
2025-06-30,329100000.0,329100000.0,60200000.0,23700000.0,25700000.0,88400000.0,11500000.0,11500000.0,0.38,0.38,4931400000.0,1095300000.0,2795000000.0,539500000.0,1557200000.0,1154600000.0,266500000.0,1936600000.0,555800000.0,802900000.0,22600000.0,-87200000.0,47600000.0,-88400000.0,-111000000.0,0.0,53000000.0
2025-12-31,371600000.0,371600000.0,-200000.0,-29800000.0,-25600000.0,94500000.0,-44400000.0,-44400000.0,,,4760900000.0,1026100000.0,2732600000.0,509500000.0,1489200000.0,1026200000.0,329100000.0,1844000000.0,516600000.0,719900000.0,93600000.0,21500000.0,-67400000.0,53100000.0,-40500000.0,,0.0
2026-03-31,306500000.0,306500000.0,-26200000.0,-52400000.0,-51400000.0,66100000.0,-57700000.0,-57700000.0,-1.92,-1.92,4705500000.0,993600000.0,2710700000.0,505700000.0,1505800000.0,1059300000.0,310100000.0,1816200000.0,487900000.0,662200000.0,21200000.0,-41300000.0,900000.0,-89200000.0,-110400000.0,-300000.0,
2026-06-30,321600000.0,321600000.0,-14400000.0,-51900000.0,-47700000.0,73600000.0,-52100000.0,-52100000.0,-1.71,-1.71,4858700000.0,1218900000.0,2653000000.0,644400000.0,1465200000.0,997400000.0,332000000.0,2037700000.0,574500000.0,610100000.0,16500000.0,-224100000.0,229200000.0,-28800000.0,-45300000.0,-34900000.0,0.0
