,Total Assets,Total Liabilities Net Minority Interest,Cash And Cash Equivalents,Stockholders Equity,Retained Earnings
2024-12-31,1340445443.32,1256066699.76,12003078.64,84378743.56,37546599.39
2025-06-30,1139926000.0,1057411000.0,10275000.0,82515000.0,38938000.0
2025-12-31,1424145710.86,1335667976.73,32155735.53,88477734.13,41093337.05
