,Total Revenue,Operating Revenue,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure
2025-02-28,2228000000.0,2228000000.0,2000000.0,-128000000.0,-128000000.0,-101000000.0,-101000000.0,,,9496000000.0,5027000000.0,5470000000.0,2777000000.0,2398000000.0,1680000000.0,626000000.0,3271000000.0,2250000000.0,217000000.0,-117000000.0,291000000.0,60000000.0,-157000000.0
2025-05-31,2153000000.0,2153000000.0,22000000.0,22000000.0,98000000.0,-30000000.0,-30000000.0,-0.18,-0.18,9245000000.0,4801000000.0,5283000000.0,2666000000.0,,,,3229000000.0,2135000000.0,-9000000.0,-160000000.0,392000000.0,-124000000.0,-115000000.0
2025-11-30,2156000000.0,2156000000.0,53000000.0,53000000.0,53000000.0,3000000.0,3000000.0,-0.02,-0.02,8844000000.0,4351000000.0,5045000000.0,2580000000.0,,,,3137000000.0,1771000000.0,-4000000.0,-57000000.0,-229000000.0,-107000000.0,-103000000.0
2026-02-28,1997000000.0,1997000000.0,-8000000.0,-455000000.0,-455000000.0,-303000000.0,-303000000.0,,,8398000000.0,4261000000.0,4893000000.0,2188000000.0,2157000000.0,1681000000.0,386000000.0,2862000000.0,2073000000.0,211000000.0,-6000000.0,-38000000.0,83000000.0,-128000000.0
2026-05-31,2058000000.0,2058000000.0,62000000.0,62000000.0,135000000.0,6000000.0,6000000.0,-0.01,-0.01,8084000000.0,3852000000.0,4501000000.0,1777000000.0,,,,2907000000.0,2075000000.0,2000000.0,-123000000.0,-48000000.0,-79000000.0,-81000000.0
