,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,1897478000.0,187174000.0,965507000.0,105503000.0,,,124684000.0,878561000.0,81671000.0,545335000.0
2025-06-30,2138861000.0,179428000.0,1161791000.0,174758000.0,1031719000.0,1013182000.0,18537000.0,905092000.0,4670000.0,571948000.0
2025-12-31,2198196000.0,150358000.0,1157640000.0,213758000.0,,,13850000.0,958996000.0,-63400000.0,625935000.0
