,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow
2024-12-31,194353000.0,194353000.0,98355000.0,-589000.0,9366000.0,23612000.0,634000.0,634000.0,,,1012402000.0,319048000.0,601921000.0,154634000.0,411101000.0,307576000.0,71186000.0,410481000.0,164414000.0,272220000.0,20544000.0,-7227000.0,-45802000.0,-4340000.0
2025-03-31,222292000.0,222292000.0,116397000.0,4549000.0,4549000.0,19540000.0,-5097000.0,-5097000.0,-0.33,-0.33,1016982000.0,340389000.0,619615000.0,180150000.0,,,67942000.0,397367000.0,160239000.0,259106000.0,11462000.0,-5907000.0,-8758000.0,11462000.0
2025-06-30,213990000.0,213990000.0,110550000.0,9355000.0,5031000.0,19478000.0,-386000.0,-386000.0,-0.02,-0.02,962349000.0,313479000.0,592303000.0,160247000.0,403923000.0,323981000.0,49680000.0,370046000.0,153232000.0,231785000.0,4428000.0,-4323000.0,-19634000.0,-6210000.0
2025-12-31,181412000.0,181412000.0,88147000.0,-11878000.0,-10416000.0,4265000.0,-9167000.0,-9167000.0,,,947793000.0,308031000.0,584128000.0,333824000.0,421471000.0,316951000.0,80539000.0,363665000.0,-25793000.0,225404000.0,10733000.0,-10009000.0,24917000.0,-19038000.0
2026-06-30,212410000.0,212410000.0,114135000.0,4946000.0,3465000.0,22410000.0,-4262000.0,-4262000.0,-0.27,-0.27,918552000.0,298305000.0,549182000.0,129020000.0,,,30019000.0,369370000.0,169285000.0,231109000.0,,,,
