,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,52588970.98,44977233.27,21846118.33,5754214.24,15455290.35,28609000.0,30742852.65,39223019.03,19540563.66
2025-12-31,43970762.34,35774874.48,15119106.62,4545734.67,9997288.39,20977000.0,28851655.72,31229139.81,17541159.53
