,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt
2024-12-31,318047000.0,318047000.0,190638000.0,97039000.0,91459000.0,101525000.0,71839000.0,71839000.0,,,1106161000.0,814068000.0,249259000.0,204136000.0,29797000.0,144164000.0,856902000.0,609932000.0,822885000.0,76407000.0,-35957000.0,-3362000.0,66875000.0,-9532000.0,0.0
2025-03-31,295288000.0,295288000.0,174706000.0,72087000.0,75188000.0,84800000.0,56871000.0,56871000.0,5.0,5.0,1119000000.0,832493000.0,204861000.0,160513000.0,,148686000.0,914139000.0,671980000.0,879756000.0,1715000.0,-1352000.0,-3289000.0,-878000.0,-2593000.0,0.0
2025-06-30,310947000.0,310947000.0,183069000.0,81304000.0,83743000.0,93214000.0,63382000.0,63382000.0,5.57,5.57,1025636000.0,744059000.0,217934000.0,174613000.0,26852000.0,128734000.0,807702000.0,569446000.0,772588000.0,77723000.0,77871000.0,-173848000.0,71189000.0,-6534000.0,
2025-12-31,341331000.0,341331000.0,204328000.0,99923000.0,101060000.0,109406000.0,70760000.0,70760000.0,,,1183080000.0,893905000.0,242286000.0,199520000.0,27144000.0,172829000.0,940794000.0,694385000.0,906183000.0,66458000.0,-44511000.0,-3357000.0,49822000.0,-16636000.0,
2026-03-31,317631000.0,317631000.0,183081000.0,75943000.0,78299000.0,87670000.0,59249000.0,59249000.0,5.21,5.21,1232574000.0,942034000.0,232780000.0,189727000.0,,210349000.0,999794000.0,752307000.0,965432000.0,27858000.0,-1425000.0,-3319000.0,21052000.0,-6806000.0,
