,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital
2024-12-31,,,,,,,,,,,,,,,149600000.0,,,
2025-03-31,,,,,,,,,0.11,0.11,,,,,,,,
2025-06-30,418778000.0,418778000.0,-1784000.0,9174000.0,10988000.0,25765000.0,7007000.0,7007000.0,0.1,0.1,1865056000.0,932602000.0,535789000.0,409469000.0,,186592000.0,1299483000.0,523133000.0
2025-09-30,428627000.0,428627000.0,4776000.0,10614000.0,11853000.0,26783000.0,9930000.0,9930000.0,,,1863607000.0,935241000.0,523094000.0,399358000.0,,231026000.0,1310272000.0,535883000.0
2025-12-31,442581000.0,442581000.0,193572000.0,1406000.0,15245000.0,35943000.0,10399000.0,10399000.0,,,1819176000.0,890450000.0,467500000.0,341828000.0,122200000.0,170253000.0,1320624000.0,548622000.0
2026-03-31,436144000.0,436144000.0,290589000.0,16137000.0,17006000.0,31744000.0,12718000.0,12718000.0,0.19,0.19,1841057000.0,915124000.0,476047000.0,355558000.0,,160442000.0,1333552000.0,559566000.0
2026-06-30,427415000.0,427415000.0,-5047000.0,12144000.0,13745000.0,28588000.0,9040000.0,9040000.0,0.14,0.14,1826572000.0,906676000.0,466894000.0,344670000.0,,133076000.0,1329262000.0,562006000.0
