,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,7000000.0
2025-03-31,855000000.0,855000000.0,632000000.0,-57000000.0,-61000000.0,-10000000.0,-60000000.0,-60000000.0,-0.26,-0.26,5280000000.0,1499000000.0,3910000000.0,1540000000.0,2322000000.0,1630000000.0,692000000.0,1240000000.0,-41000000.0,179000000.0,-81000000.0,-12000000.0,-84000000.0,-263000000.0,
2025-06-30,839000000.0,839000000.0,201000000.0,-72000000.0,-76000000.0,-27000000.0,-49000000.0,-49000000.0,-0.21,-0.21,5135000000.0,1385000000.0,3904000000.0,1610000000.0,2320000000.0,1739000000.0,581000000.0,1209000000.0,-225000000.0,242000000.0,-316000000.0,-34000000.0,-51000000.0,-293000000.0,
2025-09-30,819000000.0,819000000.0,234000000.0,20000000.0,20000000.0,67000000.0,77000000.0,77000000.0,0.33,0.33,5291000000.0,1503000000.0,3988000000.0,3507000000.0,2325000000.0,1732000000.0,593000000.0,1282000000.0,-2004000000.0,177000000.0,-147000000.0,-17000000.0,-54000000.0,-231000000.0,0.0
2025-12-31,1161000000.0,1161000000.0,427000000.0,95000000.0,-76000000.0,164000000.0,-137000000.0,-137000000.0,,,4905000000.0,1484000000.0,3728000000.0,2049000000.0,1970000000.0,1344000000.0,541000000.0,1151000000.0,-565000000.0,498000000.0,-288000000.0,-261000000.0,209000000.0,-289000000.0,0.0
2026-03-31,775000000.0,775000000.0,581000000.0,3000000.0,1000000.0,42000000.0,-41000000.0,-41000000.0,-0.18,-0.18,4560000000.0,1115000000.0,3415000000.0,1285000000.0,1877000000.0,1653000000.0,224000000.0,1122000000.0,-170000000.0,115000000.0,-222000000.0,-212000000.0,-168000000.0,-283000000.0,
