,Total Revenue,Operating Revenue,EBIT,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Total Liabilities Net Minority Interest,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Retained Earnings
2024-12-31,,,,,,,,,,8788000000.0,3202000000.0,5167000000.0,,10352000000.0
2025-03-31,11956000000.0,11956000000.0,1274000000.0,604000000.0,604000000.0,2.339009,2.339009,180500000000.0,161200000000.0,,,,12300000000.0,
2025-06-30,225000000.0,225000000.0,2042000000.0,769000000.0,769000000.0,,,177291000000.0,159040000000.0,7838000000.0,2529000000.0,5309000000.0,11851000000.0,10975000000.0
2025-09-30,26112000000.0,26112000000.0,782000000.0,591000000.0,591000000.0,,,179500000000.0,159900000000.0,,,,12700000000.0,
2025-12-31,10144000000.0,10144000000.0,1328000000.0,516000000.0,516000000.0,,,180814000000.0,159917000000.0,8266000000.0,2639000000.0,5260000000.0,13468000000.0,12349000000.0
2026-03-31,11532000000.0,11532000000.0,1613000000.0,774000000.0,774000000.0,2.99734,2.99734,183700000000.0,161500000000.0,,,,14300000000.0,
