,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,308375000.0,308375000.0,171637000.0,31854000.0,34019000.0,54966000.0,18622000.0,18622000.0,0.47,0.47,1967055000.0,357516000.0,1092619000.0,279367000.0,717709000.0,582258000.0,104969000.0,858403000.0,78149000.0,18623000.0,33975000.0,-18109000.0,-12993000.0,15866000.0,-18109000.0,-5665000.0,1996000.0
2025-06-30,293245000.0,293245000.0,168376000.0,35802000.0,39931000.0,59882000.0,21436000.0,21436000.0,0.54,0.54,1922723000.0,370046000.0,1077833000.0,279945000.0,697593000.0,573760000.0,96500000.0,829866000.0,90101000.0,40058000.0,30430000.0,-18751000.0,-19510000.0,11597000.0,-18833000.0,-10599000.0,444000.0
2025-12-31,290751000.0,290751000.0,168415000.0,48132000.0,32619000.0,53538000.0,19762000.0,19762000.0,,,1873906000.0,345165000.0,1055608000.0,262454000.0,694783000.0,519148000.0,142604000.0,802560000.0,82711000.0,80504000.0,96966000.0,-22728000.0,-19843000.0,74238000.0,-22728000.0,-12312000.0,0.0
2026-03-31,285212000.0,285212000.0,171188000.0,37363000.0,39115000.0,59285000.0,20704000.0,20704000.0,0.52,0.52,1928520000.0,375090000.0,1093501000.0,297321000.0,694695000.0,518867000.0,144670000.0,817268000.0,77769000.0,20704000.0,38138000.0,-25751000.0,-11413000.0,12387000.0,-25751000.0,-3334000.0,162000.0
2026-06-30,304279000.0,304279000.0,179359000.0,43540000.0,44175000.0,64119000.0,24334000.0,24334000.0,0.61,0.61,1972822000.0,398443000.0,1224099000.0,382015000.0,689676000.0,519170000.0,134485000.0,730896000.0,16428000.0,45038000.0,32728000.0,-20106000.0,-21578000.0,12622000.0,-20106000.0,-14686000.0,0.0
