,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,181812000.0,181812000.0,141118000.0,6107000.0,,,,,0.88907,0.88907,,,,,,,,,,,,,,
2025-06-30,143277000.0,143277000.0,114695000.0,-3267000.0,-2801000.0,8235000.0,-2791000.0,-2791000.0,-0.41,-0.41,602865000.0,205150000.0,200520000.0,130175000.0,47103000.0,67706000.0,402345000.0,74975000.0,356278000.0,-4139000.0,-13541000.0,-24129000.0,-14566000.0,-10427000.0
2025-09-30,,,,,-124000.0,-124000.0,-483000.0,-483000.0,-0.070398,-0.070398,600751000.0,198377000.0,200760000.0,131697000.0,44636000.0,48776000.0,399991000.0,66680000.0,356097000.0,,,,,
2025-12-31,,,,,85066000.0,85066000.0,56268000.0,56268000.0,,,740536000.0,333407000.0,287346000.0,221353000.0,41135000.0,149415000.0,453190000.0,112054000.0,412986000.0,,,,,
2026-03-31,186149000.0,186149000.0,145712000.0,5604000.0,5948000.0,19394000.0,5618000.0,5618000.0,0.826311,0.826311,639504000.0,220435000.0,186620000.0,120078000.0,39469000.0,86738000.0,452884000.0,100357000.0,416769000.0,,,,,
2026-06-30,151032000.0,151032000.0,119896000.0,-6812000.0,-6277000.0,5468000.0,-4247000.0,-4247000.0,-0.63,-0.63,601484000.0,263136000.0,173479000.0,110172000.0,38674000.0,23559000.0,428005000.0,152964000.0,393380000.0,-18281000.0,-11606000.0,-24987000.0,-30319000.0,-12038000.0
