,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,39025310.18,14956357.59,884033.33,299486.33,9098122.5,38141276.85,14656871.26,3081794.48
2025-06-30,37991789.39,10094947.37,694207.97,314275.47,7289782.73,37297581.42,9780671.9,2238099.05
