,Total Revenue,Operating Revenue,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Total Liabilities Net Minority Interest,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Retained Earnings
2024-12-31,,,,,,,,,,,,
2025-03-31,,,,,0.909603,0.888522,,,,,,
2025-06-30,7821000000.0,7821000000.0,1687000000.0,1485000000.0,0.754305,0.739984,1397830000000.0,1319978000000.0,131620000000.0,143890000000.0,76395000000.0,24897000000.0
2025-09-30,8024000000.0,8024000000.0,1773000000.0,1564000000.0,,,1391246000000.0,1312368000000.0,128635000000.0,148007000000.0,77378000000.0,26588000000.0
2025-12-31,7711000000.0,7711000000.0,1502000000.0,1347000000.0,0.669219,0.669219,1435067000000.0,1354864000000.0,164452000000.0,171621000000.0,78641000000.0,28096000000.0
2026-03-31,8665000000.0,8665000000.0,2118000000.0,1912000000.0,0.991856,0.977255,1483027000000.0,1403380000000.0,137424000000.0,149868000000.0,78013000000.0,30116000000.0
2026-06-30,8475000000.0,8475000000.0,1850000000.0,1640000000.0,0.858549,0.84737,1521494000000.0,1441095000000.0,136204000000.0,140445000000.0,78824000000.0,29254000000.0
