,Total Revenue,Operating Revenue,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow
2024-12-31,168600000.0,168600000.0,168600000.0,168600000.0,168600000.0,-77700000.0,-77700000.0,-2.35,-2.35,2589900000.0,1320800000.0,1187400000.0,597100000.0,599600000.0,343400000.0,208300000.0,1402500000.0,723700000.0,1298000000.0,-84800000.0,-25800000.0,56100000.0,-84800000.0
2025-03-31,927200000.0,927200000.0,402800000.0,402800000.0,402800000.0,313100000.0,313100000.0,9.49,9.49,2950700000.0,1711700000.0,1237300000.0,658200000.0,502400000.0,179200000.0,275700000.0,1713400000.0,1053500000.0,1608900000.0,182800000.0,-11100000.0,-104100000.0,182800000.0
2025-09-30,228200000.0,228200000.0,-20900000.0,-20900000.0,-20900000.0,-9800000.0,-9800000.0,-0.3,-0.3,2738700000.0,1553400000.0,1158400000.0,725200000.0,473900000.0,118900000.0,309000000.0,1580300000.0,828200000.0,1475800000.0,-84300000.0,33700000.0,-13600000.0,-84300000.0
2025-12-31,183100000.0,183100000.0,183100000.0,183100000.0,183100000.0,-54000000.0,-54000000.0,-1.64,-1.64,2610800000.0,1373000000.0,1120400000.0,691500000.0,520200000.0,264600000.0,201700000.0,1490400000.0,681500000.0,1385900000.0,-79800000.0,-14800000.0,-13200000.0,-79800000.0
2026-03-31,937300000.0,937300000.0,407800000.0,407800000.0,407800000.0,283800000.0,283800000.0,8.6,8.6,3092300000.0,1873100000.0,1313600000.0,892400000.0,56300000.0,,304300000.0,1778700000.0,980700000.0,,112300000.0,-19800000.0,10600000.0,112300000.0
