,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Free Cash Flow
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,-1.1,-1.1,815251000.0,447225000.0,468054000.0,315057000.0,237508000.0,121971000.0,115537000.0,347197000.0,132168000.0,308504000.0,,,
2025-06-30,225108000.0,225108000.0,201446000.0,-25098000.0,-24289000.0,-10904000.0,-29023000.0,-29023000.0,-2.87,-2.87,,,,,,,93491000.0,316277000.0,,,-8742000.0,-2002000.0,-8742000.0
2025-09-30,235501000.0,235501000.0,205944000.0,3316000.0,3315000.0,16747000.0,-9975000.0,-9975000.0,,,734261000.0,391822000.0,427192000.0,283194000.0,291548000.0,149863000.0,85728000.0,307069000.0,108628000.0,269506000.0,34402000.0,-5533000.0,24881000.0
2025-12-31,233766000.0,233766000.0,205116000.0,-418000.0,482000.0,12484000.0,-2760000.0,-2760000.0,-0.27,-0.27,,,,,,,,,,,,,
2026-03-31,221405000.0,221405000.0,195873000.0,-14021000.0,-13650000.0,-2289000.0,-16420000.0,-16420000.0,-1.62,-1.62,648186000.0,318078000.0,359600000.0,224192000.0,158127000.0,118602000.0,39525000.0,288586000.0,93886000.0,250326000.0,,,
2026-06-30,214866000.0,214866000.0,188035000.0,-16361000.0,-16117000.0,-4957000.0,-19108000.0,-19108000.0,-1.89,-1.89,,,,,,,42127000.0,269356000.0,,,-28591000.0,-3241000.0,-28591000.0
