,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,9745000000.0,9745000000.0,1541000000.0,417000000.0,946000000.0,1311000000.0,615000000.0,615000000.0,0.71,0.7,55117000000.0,33761000000.0,44644000000.0,37438000000.0,3700000000.0,8489000000.0,10096000000.0,-3677000000.0,-4187000000.0,718000000.0,-463000000.0,-565000000.0,267000000.0,-451000000.0
2025-09-30,10428000000.0,10428000000.0,1667000000.0,278000000.0,355000000.0,770000000.0,168000000.0,168000000.0,0.19,0.19,56637000000.0,34453000000.0,45961000000.0,38491000000.0,3966000000.0,9162000000.0,10301000000.0,-4038000000.0,-3990000000.0,1842000000.0,-702000000.0,-407000000.0,1157000000.0,-685000000.0
2025-12-31,9675000000.0,9675000000.0,2093000000.0,880000000.0,1052000000.0,1430000000.0,677000000.0,677000000.0,0.79,0.78,60191000000.0,38039000000.0,48595000000.0,41158000000.0,3829000000.0,11802000000.0,11281000000.0,-3119000000.0,-3303000000.0,3154000000.0,-391000000.0,-219000000.0,2807000000.0,-347000000.0
2026-03-31,10294000000.0,10294000000.0,2257000000.0,1039000000.0,1166000000.0,1559000000.0,766000000.0,766000000.0,0.89,0.88,61861000000.0,39452000000.0,50743000000.0,43262000000.0,3730000000.0,11695000000.0,10751000000.0,-3810000000.0,-3098000000.0,2080000000.0,-387000000.0,-1877000000.0,1716000000.0,-364000000.0
2026-06-30,11447000000.0,11447000000.0,2669000000.0,1490000000.0,1612000000.0,2017000000.0,1083000000.0,1083000000.0,1.28,1.26,63836000000.0,40612000000.0,52665000000.0,44914000000.0,2959000000.0,11088000000.0,10698000000.0,-4302000000.0,-1971000000.0,2525000000.0,-842000000.0,-2351000000.0,2111000000.0,-414000000.0
