,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,58400000.0,,,,,,,,,,,
2025-03-31,,,,,,,,,0.06,0.06,,,,,45900000.0,,,,527608000.0,,,,,,,
2025-06-30,408279000.0,408279000.0,95508000.0,6332000.0,15855000.0,45277000.0,,-9240000.0,-0.15,-0.15,1792617000.0,886607000.0,1133958000.0,639578000.0,60254000.0,73717000.0,608738000.0,247029000.0,508864000.0,53353000.0,-29902000.0,-41844000.0,23655000.0,-29698000.0,-191626000.0,139225000.0
2025-09-30,395477000.0,395477000.0,98949000.0,4494000.0,8378000.0,31820000.0,,-4439000.0,-0.07,-0.07,1873352000.0,922261000.0,1220829000.0,655781000.0,,90819000.0,603476000.0,266480000.0,504425000.0,43208000.0,-25440000.0,-404000.0,12086000.0,-31122000.0,-116783000.0,152567000.0
2025-12-31,414020000.0,414020000.0,77268000.0,25299000.0,-32848000.0,13785000.0,,4041000.0,,,1890408000.0,881093000.0,1224085000.0,706633000.0,120517000.0,111049000.0,605285000.0,174460000.0,,155308000.0,-27134000.0,-107709000.0,108322000.0,-46986000.0,-152616000.0,86514000.0
2026-03-31,430045000.0,430045000.0,116899000.0,28408000.0,37437000.0,67383000.0,,14720000.0,0.23,0.23,1953527000.0,933036000.0,1267288000.0,716127000.0,,103094000.0,625868000.0,216909000.0,,-87809000.0,-21709000.0,100145000.0,-110595000.0,-22786000.0,-27680000.0,42021000.0
2026-06-30,478909000.0,478909000.0,115317000.0,28694000.0,34871000.0,59500000.0,11156000.0,11156000.0,0.18,0.18,1949412000.0,918920000.0,1256420000.0,675234000.0,,97130000.0,633762000.0,243686000.0,,77722000.0,-25867000.0,-59003000.0,51431000.0,-26291000.0,-5174000.0,32027000.0
