,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2025-05-31,42605000.0,29795000.0,14247000.0,1973000.0,7035000.0,2271000.0,4764000.0,28358000.0,27822000.0,12753000.0
2025-11-30,44718000.0,31978000.0,14013000.0,3149000.0,3418000.0,,5744000.0,30705000.0,28829000.0,15049000.0
