,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,93500000.0
2025-03-31,23520000.0,23520000.0,9332000.0,7016000.0,-2866000.0,-1214000.0,-15490000.0,-15490000.0,-0.15,-0.15,942704000.0,85363000.0,716474000.0,139811000.0,524872000.0,451430000.0,46189000.0,202615000.0,-54448000.0,7335000.0,4097000.0,3999000.0,-6723000.0,4097000.0,0.0,3727000.0
2025-06-30,20841000.0,20841000.0,11950000.0,9454000.0,-19757000.0,-7591000.0,-30177000.0,-30177000.0,-0.29,-0.29,889794000.0,64067000.0,694459000.0,184356000.0,509127000.0,465863000.0,34876000.0,172439000.0,-120289000.0,-22841000.0,6791000.0,-3150000.0,-14954000.0,6791000.0,,
2025-09-30,25566000.0,25566000.0,8725000.0,6215000.0,-2508000.0,5110000.0,-14903000.0,-14903000.0,-0.14,-0.14,886040000.0,70817000.0,705581000.0,137100000.0,527909000.0,469755000.0,49777000.0,157374000.0,-66283000.0,-37906000.0,9534000.0,7743000.0,-2375000.0,9534000.0,,
2025-12-31,46624000.0,46624000.0,7980000.0,4727000.0,-5535000.0,-5535000.0,-27929000.0,-27929000.0,,,849190000.0,69598000.0,698380000.0,125000000.0,511063000.0,450599000.0,52049000.0,129148000.0,-55402000.0,-66132000.0,9502000.0,26631000.0,-31670000.0,9502000.0,,34000000.0
2026-03-31,33427000.0,33427000.0,6868000.0,3950000.0,2966000.0,3945000.0,-8797000.0,-8797000.0,-0.08,-0.08,832571000.0,69615000.0,690544000.0,109006000.0,505749000.0,443664000.0,53680000.0,120367000.0,-39391000.0,-74913000.0,4143000.0,14793000.0,-19497000.0,4143000.0,-38000.0,0.0
