,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,,,,,,,,,0.31,0.31,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,6399000.0,,,,
2025-06-30,22974000.0,22974000.0,11786000.0,1187000.0,1219000.0,1767000.0,762000.0,762000.0,0.06,0.06,114494000.0,57801000.0,44790000.0,37693000.0,,12670000.0,69456000.0,20108000.0,32063000.0
2025-09-30,34021000.0,34021000.0,16353000.0,4715000.0,4740000.0,5390000.0,3138000.0,3138000.0,0.24,0.24,121114000.0,67549000.0,53048000.0,46172000.0,,5977000.0,67862000.0,21377000.0,30449000.0
2025-12-31,35077000.0,35077000.0,15862000.0,3569000.0,4206000.0,4964000.0,2772000.0,2772000.0,0.21,0.21,117226000.0,66614000.0,46331000.0,40929000.0,,8112000.0,70664000.0,25685000.0,33220000.0
2026-03-31,26310000.0,26310000.0,11884000.0,-1474000.0,-763000.0,419000.0,-316000.0,-316000.0,,,109022000.0,59251000.0,43039000.0,38229000.0,4943000.0,11702000.0,65729000.0,21022000.0,33276000.0
2026-06-30,24577000.0,24577000.0,12334000.0,1092000.0,1097000.0,1845000.0,685000.0,685000.0,0.05,0.05,107172000.0,57008000.0,40541000.0,35959000.0,,7124000.0,66362000.0,21049000.0,33935000.0
