,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,731000000.0,731000000.0,,,,,182000000.0,182000000.0,0.91,0.91,11871000000.0,2208000000.0,4379000000.0,3827000000.0,148000000.0,1389000000.0,7471000000.0,-1619000000.0,3291000000.0
2025-03-31,676000000.0,676000000.0,207000000.0,207000000.0,207000000.0,207000000.0,199000000.0,199000000.0,0.99,0.99,,,,,,,,,
2025-06-30,1378000000.0,1378000000.0,690000000.0,323000000.0,391000000.0,391000000.0,214000000.0,214000000.0,,,11133000000.0,1626000000.0,4164000000.0,3053000000.0,184000000.0,1181000000.0,6948000000.0,-1427000000.0,3266000000.0
2025-12-31,2083000000.0,2083000000.0,554000000.0,334000000.0,433000000.0,433000000.0,20000000.0,20000000.0,,,11775000000.0,2049000000.0,4295000000.0,3770000000.0,153000000.0,1016000000.0,7460000000.0,-1721000000.0,3783000000.0
2026-03-31,782000000.0,782000000.0,338000000.0,338000000.0,338000000.0,338000000.0,264000000.0,264000000.0,1.32,1.32,,,,,,,,,
