,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,,,,,,,,,0.15,0.15,,,,,,,,,218000.0
2025-03-31,22291000.0,22291000.0,6986000.0,1262000.0,1320000.0,1748000.0,823000.0,823000.0,,,77547000.0,59166000.0,21509000.0,14395000.0,7549000.0,20774000.0,56044000.0,44771000.0,960000.0
2025-06-30,21777000.0,21777000.0,7148000.0,919000.0,474000.0,1656000.0,307000.0,307000.0,,,73258000.0,55260000.0,17152000.0,10254000.0,7234000.0,19203000.0,56112000.0,45006000.0,1349000.0
2025-09-30,19359000.0,19359000.0,6834000.0,166000.0,181000.0,1019000.0,-143000.0,-143000.0,-0.01,-0.01,74751000.0,50653000.0,18789000.0,11060000.0,7941000.0,15565000.0,55968000.0,39593000.0,-37000.0
2025-12-31,18303000.0,18303000.0,6620000.0,272000.0,299000.0,729000.0,242000.0,242000.0,0.07,0.07,75018000.0,50332000.0,18792000.0,11079000.0,7699000.0,18202000.0,56232000.0,39253000.0,
2026-03-31,21287000.0,21287000.0,7016000.0,220000.0,243000.0,810000.0,27000.0,27000.0,,,76196000.0,52048000.0,21112000.0,13948000.0,7320000.0,17916000.0,55090000.0,38100000.0,234000.0
