,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,384881476.43,13541311.01,106684323.98,3359463.79,454604.65,12186700.26,278197152.45,10181847.22,33927592.68
2025-06-30,372241915.16,10588442.69,102522494.26,2186619.38,393718.37,9157214.78,269719420.9,8401823.31,32285033.13
2025-12-31,313917423.56,13685312.79,88674290.69,2235380.58,4386260.17,12617328.79,225243132.87,11449932.21,32131219.8
