,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,137674.71,24.42,137674.71,31158.05,24.42,0.0,-31133.63,-1618299.1
2025-06-30,339847.87,19548.58,339847.87,270979.31,19548.58,0.0,-251430.73,-1800948.1
