,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure
2024-12-31,,,,,,,,,,,,,,,1809005000.0,1595936000.0,,,,,,,,,
2025-03-31,,,,,,,,,0.42,0.42,,,,,,,,,,,,,,,-57000.0
2025-06-30,65089000.0,65089000.0,51764000.0,52177000.0,62810000.0,62852000.0,37917000.0,37917000.0,0.5,0.5,4770696000.0,623858000.0,3016083000.0,262453000.0,2136287000.0,1540456000.0,595831000.0,1754613000.0,361405000.0,884926000.0,41546000.0,-9055000.0,341633000.0,41525000.0,-21000.0
2025-09-30,66070000.0,66070000.0,53792000.0,52983000.0,44502000.0,44541000.0,23741000.0,23741000.0,0.31,0.31,4550425000.0,403528000.0,2770491000.0,62071000.0,,,376032000.0,1779934000.0,341457000.0,908247000.0,29408000.0,-4399000.0,-244808000.0,29404000.0,-4000.0
2025-12-31,72961000.0,72961000.0,59962000.0,55861000.0,68230000.0,68267000.0,121533000.0,121533000.0,,,4603832000.0,425922000.0,2702365000.0,202224000.0,2091942000.0,1704010000.0,387405000.0,1901467000.0,223698000.0,1042141000.0,26723000.0,-14614000.0,-735000.0,26719000.0,-4000.0
2026-03-31,67582000.0,67582000.0,55306000.0,55553000.0,50071000.0,50110000.0,28441000.0,28441000.0,0.38,0.38,4633464000.0,454978000.0,2703556000.0,69768000.0,,,417067000.0,1929908000.0,385210000.0,1070582000.0,41838000.0,-4041000.0,-8136000.0,41838000.0,
2026-06-30,65746000.0,65746000.0,52603000.0,52816000.0,68449000.0,68483000.0,42742000.0,42742000.0,0.56,0.56,4608210000.0,405086000.0,2711304000.0,119037000.0,2094298000.0,1722732000.0,371566000.0,1896906000.0,286049000.0,1037580000.0,43915000.0,-4967000.0,-84448000.0,43859000.0,
