,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure
2025-03-31,27136000.0,27136000.0,5260000.0,2333000.0,2247000.0,4091000.0,1051000.0,1051000.0,87239000.0,45046000.0,42639000.0,25851000.0,17498000.0,5737000.0,1588000.0,44600000.0,19195000.0,15085000.0,4287000.0,-929000.0,-5191000.0,3305000.0,-982000.0
2025-12-31,,,,,,,,,92077000.0,51133000.0,42730000.0,27479000.0,9804000.0,,2288000.0,49347000.0,23654000.0,19832000.0,,,,,
