,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,58125080.63,37742038.73,18045738.98,13792256.65,5009321.6,17023000.0,40079341.65,23949782.08,24686921.44
2025-06-30,53979008.33,32805614.85,15246603.66,11120328.35,,15432411.45,38732404.67,21685286.5,23339984.46
2025-12-31,55675038.19,33919321.16,14066835.5,10658775.12,4161899.17,14480000.0,41608202.69,23260546.04,26215782.48
