,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,40697000000.0,33258000000.0,,,,,,,,,,
2025-03-31,13738000000.0,13738000000.0,8113000000.0,2324000000.0,2303000000.0,3477000000.0,1299000000.0,1299000000.0,1.32,1.32,109183000000.0,34832000000.0,76601000000.0,27959000000.0,,,4015000000.0,32447000000.0,6873000000.0,-1015000000.0,161000000.0,-1241000000.0,-1403000000.0,-388000000.0,-1965000000.0,941000000.0
2025-06-30,10739000000.0,10739000000.0,6375000000.0,13000000.0,-36000000.0,236000000.0,-199000000.0,-199000000.0,-0.2,-0.2,105236000000.0,33754000000.0,74736000000.0,29782000000.0,,,4557000000.0,30370000000.0,3972000000.0,1058000000.0,154000000.0,-482000000.0,593000000.0,-465000000.0,-1399000000.0,1554000000.0
2025-09-30,9660000000.0,9660000000.0,5353000000.0,-543000000.0,-399000000.0,606000000.0,-963000000.0,-963000000.0,-0.98,-0.98,104210000000.0,32881000000.0,74509000000.0,28957000000.0,,,5897000000.0,29578000000.0,3924000000.0,1685000000.0,-1067000000.0,730000000.0,849000000.0,-836000000.0,-2344000000.0,3440000000.0
2025-12-31,11438000000.0,11438000000.0,6937000000.0,4345000000.0,-2947000000.0,-2613000000.0,-3757000000.0,-3757000000.0,,,104541000000.0,32911000000.0,78478000000.0,32585000000.0,36453000000.0,28496000000.0,6671000000.0,25947000000.0,326000000.0,4202000000.0,-518000000.0,-2891000000.0,3404000000.0,-798000000.0,-2619000000.0,347000000.0
2026-03-31,13405000000.0,13405000000.0,8173000000.0,3528000000.0,3463000000.0,4717000000.0,2763000000.0,2763000000.0,2.81,2.81,107944000000.0,35301000000.0,78982000000.0,33460000000.0,,,5728000000.0,28845000000.0,1841000000.0,-1794000000.0,280000000.0,528000000.0,-2205000000.0,-411000000.0,-513000000.0,1243000000.0
