,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Repayment Of Debt
2024-12-31,118200000.0,118200000.0,-266500000.0,80400000.0,-204800000.0,-200500000.0,-342200000.0,-342200000.0,,,26359900000.0,3197700000.0,12948300000.0,2076000000.0,8360700000.0,7881400000.0,386600000.0,13030000000.0,1121700000.0,8455700000.0,392200000.0,-334100000.0,155400000.0,392200000.0,212800000.0
2025-06-30,350100000.0,350100000.0,204100000.0,-255100000.0,-364100000.0,-28900000.0,-285600000.0,-285600000.0,-0.72,-0.72,26173800000.0,2270700000.0,12831300000.0,2406800000.0,8241600000.0,7865900000.0,289300000.0,12967600000.0,-136100000.0,8394600000.0,,,,,
