,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,1036591000.0,577867000.0,476298000.0,253714000.0,19849000.0,127282000.0,560293000.0,324153000.0,450971000.0
2025-06-30,977425000.0,533401000.0,421357000.0,219412000.0,18245000.0,121242000.0,556068000.0,313989000.0,469345000.0
2025-12-31,963076000.0,512091000.0,424222000.0,222293000.0,17147000.0,108990000.0,538854000.0,289798000.0,449327000.0
