,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,-0.08,-0.08,,,,,,,,,,,,,,,15000000.0
2025-03-31,8579000000.0,8579000000.0,916000000.0,-205000000.0,429000000.0,708000000.0,155000000.0,155000000.0,0.25,0.25,28850000000.0,20200000000.0,11506000000.0,863000000.0,3982000000.0,9810000000.0,8694000000.0,1179000000.0,-312000000.0,141000000.0,-709000000.0,-622000000.0,-310000000.0,-600000000.0,57000000.0
2025-06-30,8151000000.0,8151000000.0,936000000.0,-133000000.0,304000000.0,575000000.0,-278000000.0,-278000000.0,-0.45,-0.45,28234000000.0,19795000000.0,11452000000.0,822000000.0,3702000000.0,9087000000.0,8343000000.0,857000000.0,48000000.0,-260000000.0,-20000000.0,-233000000.0,-281000000.0,-8000000.0,
2025-09-30,8277000000.0,8277000000.0,901000000.0,-252000000.0,217000000.0,794000000.0,639000000.0,639000000.0,,,28885000000.0,19542000000.0,11597000000.0,877000000.0,5725000000.0,9767000000.0,7945000000.0,1557000000.0,1643000000.0,-445000000.0,-31000000.0,1036000000.0,-607000000.0,14000000.0,
2025-12-31,7185000000.0,7185000000.0,722000000.0,-441000000.0,-105000000.0,82000000.0,-353000000.0,-353000000.0,-0.57,-0.57,28043000000.0,18595000000.0,10831000000.0,826000000.0,3575000000.0,9168000000.0,7764000000.0,903000000.0,-1232000000.0,-260000000.0,-175000000.0,-1490000000.0,-258000000.0,-57000000.0,
2026-03-31,8380000000.0,8380000000.0,1091000000.0,1000000.0,253000000.0,433000000.0,1000000.0,1000000.0,0.0,0.0,28461000000.0,18840000000.0,11362000000.0,806000000.0,3331000000.0,9158000000.0,7478000000.0,841000000.0,26000000.0,-344000000.0,-207000000.0,-305000000.0,-331000000.0,-174000000.0,143000000.0
