,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,,8007645.96,,,,16468767.99,1239792.08,,,
2025-06-30,40666266.81,9099733.5,27889392.39,12246072.05,18569000.0,17419312.32,1149687.68,12776874.42,-3146338.55,3165460.22
2025-12-31,39860285.53,8196654.13,28232572.15,22879086.37,19744180.04,18987432.66,756747.38,11627713.38,-14682432.24,2016299.18
