,Total Revenue,Operating Revenue,EBIT,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Total Liabilities Net Minority Interest,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Retained Earnings
2024-12-31,,,,,,,,,,,,,,
2025-03-31,,,,,,8.34,8.34,,,,,,,
2025-06-30,16002000000.0,16002000000.0,2917000000.0,2077000000.0,2077000000.0,15.94,15.94,275688000000.0,244925000000.0,6109000000.0,786000000.0,5323000000.0,30584000000.0,24531000000.0
2025-09-30,16476000000.0,16476000000.0,3036000000.0,2003000000.0,2003000000.0,15.48,15.48,279128000000.0,246714000000.0,7404000000.0,1975000000.0,5429000000.0,32241000000.0,26187000000.0
2025-12-31,13360000000.0,13360000000.0,1580000000.0,945000000.0,945000000.0,,,279934000000.0,246514000000.0,7434000000.0,1932000000.0,5502000000.0,33247000000.0,26637000000.0
2026-03-31,16246000000.0,16246000000.0,2231000000.0,1708000000.0,1708000000.0,13.41,13.41,281932000000.0,247315000000.0,7518000000.0,1918000000.0,5600000000.0,34440000000.0,27858000000.0
2026-06-30,17865000000.0,17865000000.0,2794000000.0,2214000000.0,2214000000.0,17.5,17.5,284927000000.0,251200000000.0,7391000000.0,1572000000.0,5819000000.0,33561000000.0,26410000000.0
