,Total Assets,Total Liabilities Net Minority Interest,Cash And Cash Equivalents,Stockholders Equity,Retained Earnings
2024-12-31,47706056.07,25588511.2,484981.34,22117544.87,12904779.39
2025-06-30,68178363.55,40754081.88,,27424281.67,
2025-12-31,67765474.68,35792812.8,10514865.61,31972661.88,22641262.6
